rank,word,count,occurrence_percentage,cumulative_percentage
333,"pronto",128135,0.03100560,66.11355686
334,"tío",127895,0.03094753,66.14450439
335,"suerte",127246,0.03079048,66.17529487
336,"ciudad",126710,0.03066078,66.20595565
337,"siquiera",126506,0.03061142,66.23656708
338,"feliz",125692,0.03041445,66.26698153
339,"venir",124376,0.03009601,66.29707754
340,"hija",124289,0.03007496,66.32715250
341,"gustaría",124196,0.03005246,66.35720496
342,"minutos",123912,0.02998374,66.38718869
343,"cuánto",123138,0.02979645,66.41698514
344,"os",122754,0.02970353,66.44668867
345,"hey",122432,0.02962561,66.47631428
346,"muerte",122057,0.02953487,66.50584915
347,"dejar",121779,0.02946760,66.53531675
348,"realidad",121027,0.02928563,66.56460238
349,"deja",120259,0.02909980,66.59370218
350,"problemas",120138,0.02907052,66.62277270
351,"vi",119856,0.02900228,66.65177498
352,"da",119199,0.02884330,66.68061828
353,"importante",119177,0.02883798,66.70945626
354,"dijiste",119038,0.02880434,66.73826060
355,"corazón",118685,0.02871893,66.76697953
356,"miedo",118624,0.02870417,66.79568370
357,"jefe",118458,0.02866400,66.82434769
358,"agua",117654,0.02846945,66.85281714
359,"haré",117579,0.02845130,66.88126844
360,"justo",117044,0.02832184,66.90959029
361,"horas",116873,0.02828047,66.93787075
362,"poder",115246,0.02788677,66.96575752
363,"buenos",115064,0.02784273,66.99360026
364,"esposa",114925,0.02780910,67.02140935
365,"manos",114921,0.02780813,67.04921748
366,"debes",114812,0.02778175,67.07699924
367,"viene",114395,0.02768085,67.10468008
368,"venga",114109,0.02761164,67.13229173
369,"nuestros",114018,0.02758962,67.15988135
370,"ojos",113772,0.02753010,67.18741145
371,"adelante",113192,0.02738975,67.21480120
372,"encontrar",113028,0.02735007,67.24215127
373,"mano",112665,0.02726223,67.26941350
374,"cinco",112532,0.02723005,67.29664355
375,"niño",112512,0.02722521,67.32386876
376,"ninguna",112227,0.02715625,67.35102501
377,"otros",112169,0.02714221,67.37816722
